time_s,reference_east_m,reference_north_m,estimated_east_m,estimated_north_m,position_error_m,estimated_speed_mps,reference_speed_mps
120.1,0.0,0.0,-1.5715343627836091,-0.2521612445720507,1.5916361225713025,15.7275469816098,15.79
120.2,-1.5620840669803844,-0.21150703150241912,-3.146922436974876,-0.44994242979592514,1.6026740461385713,16.027546981609824,15.783888888888889
120.299,-3.124168133947268,-0.37848626835256594,-4.722664172950601,-0.6302502556101217,1.618201066613531,16.01334701483139,15.76388888888889
120.399,-4.706627210491034,-0.5454655052027128,-6.311789136446066,-0.8134759756268011,1.6273826903321205,15.979713570741822,15.903888888888888
120.499,-6.282294617162337,-0.6790488941163378,-7.902701925307724,-0.9785902400296322,1.6478606925958665,16.009448481885872,15.89388888888889
120.599,-7.871545363565063,-0.8126322830299629,-9.507003950001774,-1.123906575158145,1.664817249096569,16.207949449618027,15.966944444444444
120.699,-9.47437944968571,-0.9239517735552787,-11.111259848315512,-1.2755025238940902,1.6742058922015066,16.020102424163774,16.044999999999998
120.8,-11.070421865947395,-1.0241393152404976,-12.73352926476474,-1.4071900170400795,1.706649952436102,16.2097094069437,16.008055555555554
120.9,-12.680047621913502,-1.0909310089891946,-14.338754818475536,-1.5156856032113524,1.7122283811569974,15.968049188112332,16.158055555555553
120.999,-14.303256717584029,-1.1465907553140258,-15.915062618504749,-1.591931495117052,1.6721981451882908,15.913783676320152,16.226944444444445
121.099,-15.919674143422597,-1.168854653702335,-17.503731609950194,-1.666788910165792,1.6604748058978924,15.894849095100236,16.178055555555556
121.199,-17.549674908965585,-1.1911185513825289,-19.09128038980316,-1.730261457105712,1.6331633510889494,15.88149363107221,16.283055555555556
121.299,-19.18646734434053,-1.1799866018343166,-20.67716425000657,-1.7877688377613765,1.6098374175272474,15.857030070468594,16.366944444444446
121.4,-20.83005144960144,-1.168854653702335,-22.277196900548063,-1.8368726103543906,1.5938876831838207,15.841701647115329,16.396944444444443
121.499,-22.473635554848848,-1.1577227034460071,-23.845750415595205,-1.8640681331297628,1.543250808234399,15.851010571390692,16.441944444444445
121.599,-24.117219660096257,-1.1243268569257163,-25.431702322270723,-1.879729108475857,1.5160795595232772,15.869574016136298,16.50611111111111
121.7,-25.767595435216126,-1.079799060857213,-27.032779880579426,-1.8942593424740153,1.5046718017961793,15.836237666107248,16.555
121.799,-27.431554550026913,-1.03527126478871,-28.597243741093052,-1.8933235588117725,1.4474408552499376,15.769098503245043,16.64388888888889
121.9,-29.088721994992245,-0.9684795696237819,-30.193894548656317,-1.8764580553797998,1.430325593691226,15.84951299502473,16.61388888888889
122.0,-30.752681109816535,-0.9128198240070663,-31.778525681775307,-1.853493816619988,1.3918421771866267,15.846437435982471,16.653055555555554
122.1,-32.43022356435874,-0.8237642318700599,-33.363764826647014,-1.8210876862760301,1.3660722386107695,15.864969367991367,16.761944444444445
122.2,-34.100974349015,-0.734708639024938,-34.95647939027543,-1.7754478500148707,1.3472293720499,16.002397488073335,16.76611111111111
122.3,-35.785308473416165,-0.6233891484996222,-36.55780026483569,-1.7191005416113683,1.3406442573648802,16.043841370595345,16.85611111111111
122.4,-37.476434267662796,-0.5009377077179786,-38.16181686930065,-1.650170209147774,1.3380899270865387,16.066098885545696,16.956944444444446
122.5,-39.17435173176839,-0.36735431880435354,-39.75897628850856,-1.5759746225390074,1.3425903734733433,15.911538271925139,17.03
122.6,-40.87906086571944,-0.23377092989072845,-41.35172912636085,-1.508279449297845,1.3593333846629014,15.972277302544429,17.091944444444447
122.7,-42.57018665996607,-0.08905559213700642,-42.945971021701155,-1.4440783500041334,1.4061651968607674,15.938404307276262,17.061944444444446
122.799,-44.27489579390362,0.011131949548212394,-44.52196263311777,-1.3823052295306582,1.4151710833247513,15.924258061179021,17.086944444444445
122.899,-45.96602158817725,0.08905559284512188,-46.109783090098176,-1.3060330342555915,1.402476255378434,15.86876791231335,17.03
123.0,-47.67752239198727,0.23377093201507482,-47.708258616584544,-1.2245418567987087,1.4586366598712404,15.825319443655841,17.168055555555554
123.1,-49.382231525938316,0.3228265234439658,-49.288392400407986,-1.1446657698470517,1.4704895145320918,15.817707997138614,17.141111111111112
123.199,-51.08694065990287,0.40075016674087527,-50.846646767360994,-1.053049376550291,1.4735244371460323,15.716540526901882,17.11
123.3,-52.80523313355834,0.5120696579743065,-52.42967768050892,-0.9644136269394892,1.5234975513419735,15.679704640368085,17.218888888888888
123.4,-54.53031727711328,0.6233891484996222,-53.99193956297273,-0.8726591099065786,1.5899719980438098,15.619375734588074,17.263055555555553
